=======================================
KET QUA TEST CASE CHO CHUC NANG FN1
=======================================
TestCase | A | B | C | D | Expected | Actual | PASS/FAIL
384 | 1 | 2 | -13 | 10 | three | three | PASS
385 | 1 | -1 | -14 | 24 | three | three | PASS
386 | 1 | 8 | 21 | 18 | three | double | FAIL
387 | 1 | 5 | 8 | 4 | three | double | FAIL
388 | 1 | 2 | 1 | 0 | three | double | FAIL
389 | 1 | -1 | 0 | 0 | three | double | FAIL
390 | 1 | -4 | 5 | -2 | three | double | FAIL
391 | 1 | -2 | -4 | 8 | three | double | FAIL
392 | 1 | -5 | 3 | 9 | three | double | FAIL
393 | 1 | -1 | -12 | 0 | three | three | PASS
394 | 1 | -4 | -7 | 10 | three | three | PASS
395 | 1 | 4 | -7 | -10 | three | three | PASS
396 | 1 | 6 | 8 | 0 | three | three | PASS
397 | 1 | 3 | -1 | -3 | three | three | PASS
398 | 1 | 0 | -4 | 0 | three | three | PASS
399 | 1 | -3 | -1 | 3 | three | three | PASS
400 | 1 | 1 | -6 | 0 | three | three | PASS
401 | 1 | 3 | 0 | -4 | three | double | FAIL
402 | 1 | 0 | -3 | -2 | three | double | FAIL
403 | 1 | -3 | 0 | 0 | three | double | FAIL
404 | 1 | -6 | 9 | -4 | three | double | FAIL
405 | 1 | -9 | 24 | -20 | three | double | FAIL
406 | 1 | 4 | -11 | -30 | three | three | PASS
407 | 1 | 8 | 19 | 12 | three | three | PASS
408 | 1 | 5 | 6 | 0 | three | three | PASS
409 | 1 | 2 | -1 | -2 | three | three | PASS
410 | 1 | -1 | -2 | 0 | three | three | PASS
411 | 1 | 1 | -2 | 0 | three | three | PASS
412 | 1 | -2 | -1 | 2 | three | three | PASS
413 | 1 | -5 | 6 | 0 | three | three | PASS
414 | 1 | -1 | -9 | 9 | three | three | PASS
415 | 1 | -4 | -4 | 16 | three | three | PASS
416 | 1 | -2 | -13 | -10 | three | three | PASS
417 | 1 | 6 | 5 | 0 | three | three | PASS
418 | 1 | 3 | -4 | 0 | three | three | PASS
419 | 1 | 0 | -7 | 6 | three | three | PASS
420 | 1 | -3 | -4 | 12 | three | three | PASS

=======================================
KET QUA TEST CASE CHO CHUC NANG FN7
=======================================
TestCase | A | B | C | D | Expected | Actual | PASS/FAIL
421 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
422 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
423 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
424 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
425 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
426 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
427 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
428 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
429 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
430 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
431 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
432 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
433 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
434 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
435 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
436 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
437 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
438 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
439 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
440 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
441 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
442 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
443 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
444 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
445 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
446 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
447 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
448 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
449 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
450 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
451 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
452 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
453 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
454 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
455 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
456 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
457 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
458 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
459 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
460 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
461 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
462 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
463 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
464 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
465 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
466 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
467 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
468 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
469 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
470 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
471 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
472 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
473 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
474 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
475 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
476 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
477 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
478 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
479 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
480 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
481 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
482 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
483 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
484 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
485 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
486 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
487 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
488 | 1e-3 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS
489 | -2.3456789 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.923381, -0.923381, 0.000000 | PASS
490 | 1.23456789012345 | 0.0000001 | 2 | -0.00000000001 | toFixed(6) | 0.000000 | PASS

=======================================
KET QUA TEST CASE CHO CHUC NANG FN8
=======================================
TestCase | A | B | C | D | Expected | Actual | PASS/FAIL
491 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
492 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
493 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
494 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
495 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
496 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
497 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
498 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
499 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
500 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
501 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
502 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
503 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
504 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
505 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
506 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
507 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
508 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
509 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
510 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
511 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
512 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
513 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
514 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
515 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
516 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
517 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
518 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
519 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
520 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
521 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
522 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
523 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
524 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
525 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
526 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
527 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
528 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
529 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
530 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
531 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
532 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
533 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
534 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
535 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
536 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
537 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
538 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
539 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
540 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
541 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
542 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
543 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
544 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
545 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
546 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
547 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
548 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
549 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
550 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
551 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
552 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
553 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
554 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
555 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
556 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
557 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
558 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
559 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS
560 | 1 | 0 | -1 | 0 | idempotent | [1,-1,-2.1211504774498136e-16] | PASS

=======================================
KET QUA TEST CASE CHO CHUC NANG FN9
=======================================
TestCase | A | B | C | D | Expected | Actual | PASS/FAIL
561 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
562 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
563 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
564 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
565 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
566 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
567 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
568 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
569 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
570 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
571 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
572 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
573 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
574 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
575 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
576 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
577 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
578 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
579 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
580 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
581 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
582 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
583 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
584 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
585 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
586 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
587 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
588 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
589 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
590 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
591 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
592 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
593 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
594 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
595 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
596 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
597 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
598 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
599 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
600 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
601 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
602 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
603 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
604 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
605 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
606 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
607 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
608 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
609 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
610 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
611 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
612 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
613 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
614 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
615 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
616 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
617 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
618 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
619 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
620 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
621 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
622 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
623 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
624 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
625 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
626 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
627 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
628 |  | 2 | 3 | 4 | ui case | has empty input case | PASS
629 | 1 | 2 | 3 | 4 | ui case | all filled | PASS
630 |  | 2 | 3 | 4 | ui case | has empty input case | PASS

